"title","feedUrl","iTunesUrl"
"Menkää ja Tehkää","http://feeds.soundcloud.com/users/soundcloud:users:87152068/sounds.rss","https://itunes.apple.com/fi/podcast/menkaa-ja-tehkaa/id1052603599?l=fi&mt=2"
"Metti & Hanna","https://rss.acast.com/mettijahanna","https://itunes.apple.com/fi/podcast/metti-hanna/id1350223022?mt=2"
"Miekkailu-podcast","http://feeds.soundcloud.com/users/soundcloud:users:403556376/sounds.rss","https://itunes.apple.com/fi/podcast/miekkailu-podcast/id1351288993?mt=2"
"Mielen matkalla","https://tools.planetradio.co.uk/core/podcasts/rss.php?name=mielen-matkalla",
"MIKA EIRTOVAARA PODCAST","http://mikaepodcast.podbean.com/feed","https://itunes.apple.com/fi/podcast/mika-eirtovaara-podcast/id978172830?l=fi&mt=2"
"Mikä maksaa?","http://feeds.yle.fi/areena/v1/series/1-1811853.rss","https://itunes.apple.com/fi/podcast/mika-maksaa/id638688539?mt=2&uo=4&at=10l4Yx&app=itunes"
"Mikä meitä vaivaa?","http://feeds.soundcloud.com/users/soundcloud:users:324727948/sounds.rss",
"Minun Itämereni","https://cms.podcastit.me/podcast/minun-itamereni/feed/","https://itunes.apple.com/fi/podcast/minun-it%C3%A4mereni/id1393513546?mt=2&ls=1#episodeGuid=http%3A%2F%2Fcms.podcastit.me%2F%3Fp%3D411"
"Minä & minä","http://jakso.fi/podcastit/mina-ja-mina/feed","https://itunes.apple.com/fi/podcast/mina-mina/id1184329272?mt=2&ls=1&at=1000lwWI"
"Mistä maailma puhuu","https://feeds.yle.fi/areena/v1/series/1-4225655.rss?lang=fi&downloadable=true","https://itunes.apple.com/fi/podcast/mist%C3%A4-maailma-puhuu/id1280524439?l=fi&mt=2"
"Moottoriturvat","http://moottoriturvat.fi/rss",
"Motivaatiomies","http://feeds.soundcloud.com/users/soundcloud:users:182550811/sounds.rss",
"Musikaalimatkassa","http://feeds.soundcloud.com/users/soundcloud:users:312331366/sounds.rss","https://itunes.apple.com/au/podcast/musikaalimatkassa/id1275630297"
"Muturadio","http://feeds.soundcloud.com/users/soundcloud:users:338712257/sounds.rss",
"MyTech","https://cms.podcastit.me/podcast/mytech/feed/","https://itunes.apple.com/fi/podcast/mytech/id1425793403?mt=2&ls=1#episodeGuid=http%3A%2F%2Fcms.podcastit.me%2F%3Fp%3D590"
"MyyntiKoneisto Podcast by Jan Ropponen","http://feeds.soundcloud.com/users/soundcloud:users:308588046/sounds.rss",
"Mätäkuu Podcast","http://feeds.soundcloud.com/users/soundcloud:users:212710564/sounds.rss",
"NBA-tuokio","http://jakso.fi/podcastit/nba-tuokio/feed","https://itunes.apple.com/fi/podcast/nba-tuokio/id1296649091?l=fi&mt=2"
"Nelinpeli","http://feeds.feedburner.com/NelinpeliPodcast","https://itunes.apple.com/fi/podcast/nelinpeli/id508810768?l=fi&mt=2"
"Nerdic Podcast","http://feeds.podiant.co/nerdicpodcast/rss.xml",
"NFL Jenarihait","http://feeds.soundcloud.com/users/soundcloud:users:199540640/sounds.rss","https://itunes.apple.com/fi/podcast/nfl-jenarihait/id1075605802?mt=2"
"Noin viikon radio","http://feeds.yle.fi/areena/v1/series/1-3436377.rss?lang=fi&downloadable=true","https://itunes.apple.com/fi/podcast/noin-viikon-radio/id1110243568?l=fi&mt=2"
"Nordea Markets Insights FI","http://feeds.soundcloud.com/users/soundcloud:users:213460014/sounds.rss",
"Nuoren Voiman Lavarunoradio","http://jakso.fi/podcastit/lavarunoradio/feed","https://itunes.apple.com/fi/podcast/nuoren-voiman-lavarunoradio/id1299537212?l=fi&mt=2&at=1000lwWI&ls=1#episodeGuid=http%3A%2F%2Fjakso.fi%2F%3Fp%3D1156"
"Näin tutkimukseni on muuttanut maailmaa","https://cms.podcastit.me/podcast/luke/feed/","https://itunes.apple.com/fi/podcast/luonnonvarakeskuksen-podcast/id1375428857?mt=2&ls=1#episodeGuid=http%3A%2F%2Fcms.podcastit.me%2F%3Fp%3D479"
"Näkövammaisten liitto","http://feeds.soundcloud.com/users/soundcloud:users:281939335/sounds.rss",
"Oispa viinii!","https://rss.simplecast.com/podcasts/7223/rss","https://itunes.apple.com/fi/podcast/oispa-viinii/id1433578907?l=fi&mt=2"
"Oma huone","http://feeds.soundcloud.com/users/soundcloud:users:392324175/sounds.rss",
"Omaa luokkaa","http://feeds.soundcloud.com/users/soundcloud:users:313022821/sounds.rss","https://itunes.apple.com/us/podcast/omaa-luokkaa/id1248289667?mt=2"
"OP Sijoittajakoulu","http://feeds.soundcloud.com/users/soundcloud:users:224130755/sounds.rss","https://itunes.apple.com/fi/podcast/op-sijoittajakoulu/id1111791807?mt=2"
"OP Sijoittajakoulu","http://feeds.soundcloud.com/users/soundcloud:users:224130755/sounds.rss",
"Outo laakso","https://feeds.yle.fi/areena/v1/series/1-4574496.rss?lang=fi&downloadable=true",
"Outo maa","http://feeds.soundcloud.com/users/soundcloud:users:329635079/sounds.rss",
"Pakkotoisto Podcast","http://feeds.soundcloud.com/users/soundcloud:users:191049623/sounds.rss",
"Paleoradio","http://feeds.soundcloud.com/users/soundcloud:users:85044028/sounds.rss","https://itunes.apple.com/fi/podcast/paleoradio/id1035230412?l=fi&mt=2"
"Palkittu","https://cms.podcastit.me/podcast/palkittu/feed/","https://itunes.apple.com/fi/podcast/palkittu/id1361524513?mt=2&ls=1#episodeGuid=http%3A%2F%2Fcms.podcastit.me%2F%3Fp%3D507"
"Paluu tulevaisuuteen","http://feeds.soundcloud.com/users/soundcloud:users:387144515/sounds.rss","https://itunes.apple.com/fi/podcast/paluu-tulevaisuuteen/id1338838705"
"Paluu tulevaisuuteen","http://feeds.soundcloud.com/users/soundcloud:users:387144515/sounds.rss","https://itunes.apple.com/fi/podcast/paluu-tulevaisuuteen/id1338838705?l=fi&mt=2"
"Parempi lounas","http://feeds.soundcloud.com/users/soundcloud:users:338814784/sounds.rss","https://itunes.apple.com/fi/podcast/parempi-lounas/id1300111767?l=fi&mt=2"
"Parempi tarina","http://feeds.soundcloud.com/users/soundcloud:users:132988934/sounds.rss","https://itunes.apple.com/fi/podcast/parempi-tarina/id966106617?l=fi&mt=2"
"PBC","http://pelaajaboardcast.fi/feed/podcast/","https://itunes.apple.com/fi/podcast/pbc/id931920547?mt=2&ls=1"
"Pelaajacast","http://www.pelaajalehti.com/feed/podcast/","https://itunes.apple.com/fi/podcast/pelaajacast/id287435223?l=fi&mt=2"
"Pelidialogi","http://pelidialogi.fi/podcast.rss","https://itunes.apple.com/fi/podcast/pelidialogi/id1081099386"
"Perho & Pääskysaari","https://tools.planetradio.co.uk/core/podcasts/rss.php?name=perho-ja-paaskysaari",
"Perttu Häkkinen","http://feeds.yle.fi/areena/v1/series/1-1792200.rss?lang=fi&downloadable=true","https://itunes.apple.com/fi/podcast/perttu-hakkinen/id593439124?mt=2&uo=4&at=10l4Yx&app=itunes"
"Petri Toikkanen","http://feeds.soundcloud.com/users/soundcloud:users:262356821/sounds.rss",
"Pettu","http://cms.podcastit.me/podcast/pettu/feed/","https://itunes.apple.com/fi/podcast/pettu/id1228603005?mt=2&ls=1"
"Pihlajalinna-podcast","http://cms.podcastit.me/podcast/pihlajalinna/feed/","https://itunes.apple.com/fi/podcast/pihlajalinna-podcast/id1324968465"
"PikaPika Podcast","https://feedpress.me/PikaPikaPodcast",
"Pikkurikollisia","https://anchor.fm/s/5041758/podcast/rss","https://itunes.apple.com/fi/podcast/pikkurikollisia/id1408735753?mt=2"
"Pimeä laatikko","http://feeds.soundcloud.com/users/soundcloud:users:397683273/sounds.rss",
"Podcast and Notes – Explore Finland Radio Show","http://feeds.feedburner.com/ExploreFinlandRadio","https://itunes.apple.com/fi/podcast/explore-finland-radio-show/id948019018"
"Podcast – Henry Lehto","http://feeds.feedburner.com/takaisinkirjoituspoydalle","https://itunes.apple.com/fi/podcast/henry-lehto-stand-up-komiikkablogi/id926112217?l=fi&mt=2"
"Podcast – Marko Kaartinen","https://markokaartinen.net/kategoria/podcast/feed",
"Podcast – Meinunate","https://feeds.feedburner.com/Meinunate-Podcast?format=xml","https://itunes.apple.com/fi/podcast/meinunate-podcast/id1090539525"
"PodKaista","http://feeds.feedburner.com/Podkaista","https://itunes.apple.com/fi/podcast/podkaista/id288291548?l=fi&mt=2"
